form	lemma	POS
Ce	ce	DET
livre	livre	NOUN
affirme	affirme	VERB
la	le	DET
réalité	réalité	NOUN
de	de	ADP
l'	le	DET
esprit	esprit	NOUN
,	,	PUNCT
la	le	DET
réalité	réalité	NOUN
de	de	ADP
la	le	DET
matière	matière	NOUN
,	,	PUNCT
et	et	CCONJ
essaie	essayer	VERB
de	de	ADP
déterminer	déterminer	VERB
le	le	DET
rapport	rapport	NOUN
de	de	ADP
l'	le	DET
un	un	PRON
à	à	ADP
l'	le	DET
autre	autre	PRON
sur	sur	ADP
un	un	DET
exemple	exemple	NOUN
précis	précis	ADJ
,	,	PUNCT
celui	celui	PRON
de	de	ADP
la	le	DET
mémoire	mémoire	NOUN
.	.	PUNCT
Il	il	PRON
est	être	AUX
donc	donc	ADV
nettement	nettement	ADV
dualiste	dualiste	ADJ
.	.	PUNCT
Mais	mais	CCONJ
,	,	PUNCT
d'	de	ADP
autre	autre	ADJ
part	part	NOUN
,	,	PUNCT
il	il	PRON
envisage	envisage	AUX
corps	corps	VERB
et	et	CCONJ
esprit	esprit	NOUN
de	de	ADP
telle	tel	ADJ
manière	manière	NOUN
qu'	qu'	PRON
il	il	PRON
espère	espérer	VERB
atténuer	atténuer	VERB
beaucoup	beaucoup	ADV
,	,	PUNCT
sinon	sinon	ADV
supprimer	supprimer	ADJ
,	,	PUNCT
les	le	DET
difficultés	difficulté	NOUN
théoriques	théorique	ADJ
que	que	SCONJ
le	le	DET
dualisme	dualisme	NOUN
a	avoir	AUX
toujours	toujours	ADV
soulevées	soulever	VERB
et	et	CCONJ
qui	qui	PRON
font	faire	VERB
que	que	SCONJ
,	,	PUNCT
suggéré	suggérer	VERB
par	par	ADP
la	le	DET
conscience	conscience	NOUN
immédiate	immédiat	ADJ
,	,	PUNCT
adopté	adopté	NOUN
par	par	ADP
le	le	DET
sens	sens	NOUN
commun	commun	ADJ
,	,	PUNCT
il	il	PRON
est	être	AUX
fort	fort	ADV
peu	peu	ADV
en	en	ADP
honneur	honneur	NOUN
parmi	parmi	ADP
les	le	DET
philosophes	philosophe	NOUN
.	.	PUNCT
