form	lemma	POS
Quelques	quelque	DET
mots	mot	NOUN
sur	sur	ADP
l'	le	DET
origine	origine	NOUN
de	de	ADP
ce	ce	DET
travail	travail	NOUN
en	en	ADP
feront	faire	VERB
comprendre	comprendre	VERB
l'	le	DET
intention	intention	NOUN
.	.	PUNCT
Nous	nous	PRON
l'	le	DET
avions	avoir	AUX
entrepris	entreprendre	VERB
exclusivement	exclusivement	ADV
pour	pour	ADP
nous	nous	PRON
.	.	PUNCT
Nous	nous	PRON
voulions	vouloir	VERB
savoir	savoir	VERB
dans	dans	ADP
quelle	quel	DET
mesure	mesure	NOUN
notre	notre	DET
conception	conception	NOUN
de	de	ADP
la	le	DET
durée	durée	NOUN
était	être	AUX
compatible	compatible	ADJ
avec	avec	ADP
les	le	DET
vues	vue	NOUN
d'	de	ADP
Einstein	Einstein	PROPN
sur	sur	ADP
le	le	DET
temps	temps	NOUN
.	.	PUNCT
Notre	notre	DET
admiration	admiration	NOUN
pour	pour	ADP
ce	ce	DET
physicien	physicien	NOUN
,	,	PUNCT
la	le	DET
conviction	conviction	NOUN
qu'	qu'	PRON
il	il	PRON
ne	ne	ADV
nous	nous	PRON
apportait	apporter	VERB
pas	pas	ADV
seulement	seulement	ADV
une	un	DET
nouvelle	nouvelle	NOUN
physique	physique	ADJ
mais	mais	CCONJ
aussi	aussi	ADV
certaines	certain	DET
manières	manière	NOUN
nouvelles	nouveau	ADJ
de	de	ADP
penser	penser	VERB
,	,	PUNCT
l'	le	DET
idée	idée	NOUN
que	que	SCONJ
science	science	NOUN
et	et	CCONJ
philosophie	philosophie	NOUN
sont	être	AUX
des	un	DET
disciplines	discipline	NOUN
différentes	différent	ADJ
mais	mais	CCONJ
faites	fait	ADJ
pour	pour	ADP
se	se	PRON
compléter	compléter	VERB
,	,	PUNCT
tout	tout	DET
cela	cela	PRON
nous	nous	PRON
inspirait	inspirer	VERB
le	le	DET
désir	désir	NOUN
et	et	CCONJ
nous	nous	PRON
imposait	imposer	VERB
même	même	ADV
le	le	DET
devoir	devoir	VERB
de	de	ADP
procéder	procéder	VERB
à	à	ADP
une	un	DET
confrontation	confrontation	NOUN
.	.	PUNCT
Mais	mais	CCONJ
notre	notre	DET
recherche	recherche	NOUN
nous	nous	PRON
parut	paraître	VERB
bientôt	bientôt	ADV
offrir	offrir	VERB
un	un	DET
intérêt	intérêt	NOUN
plus	plus	ADV
général	général	ADJ
.	.	PUNCT
Notre	notre	DET
conception	conception	NOUN
de	de	ADP
la	le	DET
durée	durée	NOUN
traduisait	traduire	VERB
en	en	ADP
effet	effet	NOUN
une	un	DET
expérience	expérience	NOUN
directe	direct	ADJ
et	et	CCONJ
immédiate	immédiat	ADJ
.	.	PUNCT
Sans	sans	ADP
entraîner	entraîner	VERB
comme	comme	ADP
conséquence	conséquence	NOUN
nécessaire	nécessaire	ADJ
l'	le	DET
hypothèse	hypothèse	NOUN
d'	de	ADP
un	un	DET
Temps	temps	NOUN
universel	universel	PROPN
,	,	PUNCT
elle	lui	PRON
s'	se	PRON
harmonisait	harmoniser	VERB
avec	avec	ADP
cette	ce	DET
croyance	croyance	NOUN
très	très	ADV
naturellement	naturellement	ADV
.	.	PUNCT
C'	ce	PRON
étaient	être	AUX
donc	donc	ADV
un	un	DET
peu	peu	ADV
les	le	DET
idées	idée	NOUN
de	de	ADP
tout	tout	ADJ
le	le	DET
monde	monde	NOUN
que	que	PRON
nous	nous	PRON
allions	allier	VERB
confronter	confronter	VERB
avec	avec	ADP
la	le	DET
théorie	théorie	NOUN
d'	de	ADP
Einstein	Einstein	PROPN
.	.	PUNCT
Et	et	CCONJ
le	le	DET
côté	côté	NOUN
par	par	ADP
où	où	PRON
cette	ce	DET
théorie	théorie	NOUN
semble	semble	VERB
froisser	froisser	VERB
l'	le	DET
opinion	opinion	NOUN
commune	commun	ADJ
passait	passer	VERB
alors	alors	ADV
au	au	DET
premier	premier	ADJ
plan	plan	NOUN
:	:	PUNCT
nous	nous	PRON
aurions	avoir	VERB
à	à	ADP
nous	nous	PRON
appesantir	appesantir	VERB
sur	sur	ADP
les	le	DET
""""	""""	PUNCT
paradoxes	paradoxe	NOUN
""""	""""	PUNCT
de	de	ADP
la	le	DET
théorie	théorie	NOUN
de	de	ADP
la	le	DET
Relativité	relativité	NOUN
,	,	PUNCT
sur	sur	ADP
les	le	DET
Temps	temps	NOUN
multiples	multiple	ADJ
qui	qui	PRON
coulent	couler	VERB
plus	plus	ADV
ou	ou	CCONJ
moins	moins	ADV
vite	vite	ADV
,	,	PUNCT
sur	sur	ADP
les	le	DET
simultanéités	simultanéité	NOUN
qui	qui	PRON
deviennent	devenir	VERB
des	un	DET
successions	succession	NOUN
et	et	CCONJ
les	le	DET
successions	succession	NOUN
des	de	ADP
simultanéités	simultanéité	NOUN
quand	quand	SCONJ
on	on	PRON
change	changer	VERB
de	de	ADP
point	point	NOUN
de	de	ADP
vue	vue	NOUN
.	.	PUNCT
Ces	ce	DET
thèses	thèse	NOUN
ont	avoir	AUX
un	un	DET
sens	sens	NOUN
physique	physique	ADJ
bien	bien	ADV
défini	défini	ADJ
:	:	PUNCT
elles	lui	PRON
disent	dire	VERB
ce	ce	PRON
qu'	qu'	PRON
Einstein	Einstein	PROPN
a	a	PROPN
lu	lu	PROPN
,	,	PUNCT
par	par	ADP
une	un	DET
intuition	intuition	NOUN
géniale	génial	ADJ
,	,	PUNCT
dans	dans	ADP
les	le	DET
équations	équation	NOUN
de	de	ADP
Lorentz	Lorentz	PROPN
.	.	PUNCT
Mais	mais	CCONJ
quelle	quell	ADJ
en	en	PRON
est	être	AUX
la	le	DET
signification	signification	NOUN
philosophique	philosophique	ADJ
?	?	PUNCT
Pour	pour	ADP
le	le	DET
savoir	savoir	NOUN
,	,	PUNCT
nous	nous	PRON
prîmes	prendre	VERB
les	le	DET
formules	formule	NOUN
de	de	ADP
Lorentz	Lorentz	PROPN
terme	terme	VERB
par	par	ADP
terme	terme	NOUN
,	,	PUNCT
et	et	CCONJ
nous	nous	PRON
cherchâmes	chercher	VERB
à	à	ADP
quelle	quel	DET
réalité	réalité	NOUN
concrète	concrète	PROPN
,	,	PUNCT
à	à	ADP
quelle	quel	DET
chose	chose	NOUN
perçue	percevoir	ADJ
ou	ou	CCONJ
perceptible	perceptible	ADJ
,	,	PUNCT
chaque	chaque	DET
terme	terme	NOUN
correspondait	correspondre	VERB
.	.	PUNCT
Cet	ce	DET
examen	examen	NOUN
nous	nous	PRON
donna	donner	VERB
un	un	DET
résultat	résultat	NOUN
assez	assez	ADV
inattendu	inattendu	VERB
.	.	PUNCT
Non	non	ADV
seulement	seulement	ADV
les	le	DET
thèses	thèse	NOUN
d'	de	ADP
Einstein	Einstein	PROPN
ne	ne	ADV
paraissaient	paraître	VERB
plus	plus	ADV
contredire	contredire	NOUN
,	,	PUNCT
mais	mais	CCONJ
encore	encore	ADV
elles	lui	PRON
confirmaient	confirmer	VERB
,	,	PUNCT
elles	lui	PRON
accompagnaient	accompagner	VERB
d'	de	ADP
un	un	DET
commencement	commencement	NOUN
de	de	ADP
preuve	preuve	NOUN
la	le	DET
croyance	croyance	NOUN
naturelle	naturel	ADJ
des	de	ADP
hommes	homme	NOUN
à	à	ADP
un	un	DET
Temps	temps	NOUN
unique	unique	ADJ
et	et	CCONJ
universel	universel	PROPN
.	.	PUNCT
Elles	lui	PRON
devaient	devoir	VERB
simplement	simplement	ADV
à	à	ADP
un	un	DET
malentendu	malentendu	NOUN
leur	leur	DET
aspect	aspect	ADJ
paradoxal	paradoxal	ADJ
.	.	PUNCT
Une	un	DET
confusion	confusion	NOUN
semblait	sembler	VERB
s'	se	PRON
être	être	AUX
produite	produire	VERB
,	,	PUNCT
non	non	ADV
pas	pas	ADV
certes	certes	ADV
chez	chez	ADP
Einstein	Einstein	PROPN
lui-même	lui-même	PRON
,	,	PUNCT
non	non	ADV
pas	pas	ADV
chez	chez	ADP
les	le	DET
physiciens	physicien	NOUN
qui	qui	PRON
usaient	usaient	ADV
physiquement	physiquement	ADV
de	de	ADP
sa	son	DET
méthode	méthode	NOUN
,	,	PUNCT
mais	mais	CCONJ
chez	chez	ADP
certains	certains	PRON
qui	qui	PRON
érigeaient	ériger	VERB
cette	ce	DET
physique	physique	NOUN
,	,	PUNCT
telle	tel	ADJ
quelle	quell	ADJ
,	,	PUNCT
en	en	ADP
philosophie	philosophie	NOUN
.	.	PUNCT
Deux	Deux	NUM
conceptions	conception	NOUN
différentes	différent	ADJ
de	de	ADP
la	le	DET
relativité	relativité	NOUN
,	,	PUNCT
l'	le	DET
une	un	DET
abstraite	abstraite	NOUN
et	et	CCONJ
l'	le	DET
autre	autre	ADJ
imagée	imagée	NOUN
,	,	PUNCT
l'	le	DET
une	un	DET
incomplète	incomplète	NOUN
et	et	CCONJ
l'	le	DET
autre	autre	ADJ
